Player,Guild,Wins,Losses,Total,Winrate_%
Hinerman,Skoggangr,149,72,221,67.42
BRUTTACOMELAFAME,Skoggangr,144,62,206,69.9
Markrade,Panico,143,33,176,81.25
Shaclista,Panico,135,35,170,79.41
Carde123,Skoggangr,132,73,205,64.39
luke,EightFours,130,59,189,68.78
HayriX,Skoggangr,128,69,197,64.97
Samir18eme,EightFours,116,52,168,69.05
Crovi,Panico,115,32,147,78.23
Opti,Skoggangr,113,50,163,69.33
vecchia22cm,Panico,111,32,143,77.62
EthiopianRuler,EightFours,111,54,165,67.27
Tavici,Skoggangr,110,50,160,68.75
Sziahogyvagy,Skoggangr,109,58,167,65.27
PabloTEscobar,Skoggangr,109,302,411,26.52
Minazuki,Panico,104,34,138,75.36
Ektomorph,EightFours,104,44,148,70.27
Turbo1,Panico,104,47,151,68.87
AhmedGad,Skoggangr,103,51,154,66.88
Arcadiuus,Skoggangr,103,56,159,64.78
Versik,Papaoutai,100,60,160,62.5
InTheShadows,EightFours,99,41,140,70.71
Vanillie,Skoggangr,99,49,148,66.89
NICKPAN,Clean Kill,99,103,202,49.01
ELCHY,A SKILL ISSUE,99,162,261,37.93
Me0,A SKILL ISSUE,98,57,155,63.23
SarettaMcQueen,Panico,97,25,122,79.51
suzuya,Papaoutai,97,65,162,59.88
Yix,Skoggangr,97,161,258,37.6
Trolloid,Panico,96,28,124,77.42
Frifri,Skoggangr,96,40,136,70.59
REYMaldito,EightFours,95,47,142,66.9
Salley,Skoggangr,95,48,143,66.43
Zouzetta,EightFours,95,49,144,65.97
FUCKBIDEN,Right Side,94,41,135,69.63
Limorrrrre,Panico,93,23,116,80.17
TonyeSousou,Panico,92,33,125,73.6
cake100p,Skoggangr,92,34,126,73.02
LordMoist,Skoggangr,92,37,129,71.32
Yuuuki,Skoggangr,92,43,135,68.15
milfhunter026,Skoggangr,92,54,146,63.01
Marikuss,Ridniy Kray,92,69,161,57.14
Soegaard1,Skoggangr,91,49,140,65.0
MaeKikas,Skoggangr,91,70,161,56.52
Fenerbache,EightFours,90,41,131,68.7
HURTLOKER,Skoggangr,90,43,133,67.67
DoraEsploradora,Skoggangr,90,51,141,63.83
Tizanita,Skoggangr,88,32,120,73.33
Vandam,kfir,88,89,177,49.72
Narkiel,Panico,87,24,111,78.38
Sufit308,Skoggangr,87,35,122,71.31
zigk,Skoggangr,87,42,129,67.44
xAlee,Skoggangr,87,50,137,63.5
di9yy,Right Side,86,31,117,73.5
Caalax,Panico,86,32,118,72.88
mawcoo,Skoggangr,86,39,125,68.8
BootyESCOBAR,EightFours,86,41,127,67.72
AirCatcher,Right Side,85,34,119,71.43
DJALILfbx,EightFours,85,36,121,70.25
Favn1r,G2U,85,113,198,42.93
xaannder,Skoggangr,84,33,117,71.79
King1slayer,Skoggangr,84,43,127,66.14
Grur,A SKILL ISSUE,84,55,139,60.43
Quater,EightFours,83,35,118,70.34
DonPythonLorde,EightFours,83,36,119,69.75
Koffu,Panico,83,62,145,57.24
lancilrotto,Panico,82,19,101,81.19
Gibuz,Skoggangr,82,36,118,69.49
R4msess,Right Side,82,36,118,69.49
Absencious,Skoggangr,82,44,126,65.08
